UNDIRECTED	coref
cat=NOTEXIST,EXIST:exists
372612	paperref:254171	paperref:254168	|	exists=EXIST:P=0.0,1.0
333749	paperref:257592	paperref:257254	|	exists=NOTEXIST:P=1.0,0.0
348467	paperref:258561	paperref:257025	|	exists=NOTEXIST:P=1.0,0.0
361395	paperref:257217	paperref:255646	|	exists=NOTEXIST:P=1.0,0.0
337487	paperref:254837	paperref:256839	|
352376	paperref:256680	paperref:254890	|	exists=NOTEXIST:P=1.0,0.0
342261	paperref:258064	paperref:258066	|	exists=EXIST:P=0.0,1.0
362553	paperref:253994	paperref:254002	|	exists=EXIST:P=0.0,1.0
350864	paperref:253946	paperref:256590	|	exists=NOTEXIST:P=1.0,0.0
332586	paperref:257590	paperref:258145	|	exists=NOTEXIST:P=1.0,0.0
354511	paperref:257245	paperref:253996	|	exists=NOTEXIST:P=1.0,0.0
364472	paperref:257601	paperref:253779	|
355980	paperref:253826	paperref:255224	|	exists=NOTEXIST:P=1.0,0.0
352132	paperref:255367	paperref:254402	|	exists=NOTEXIST:P=1.0,0.0
378760	paperref:257782	paperref:254757	|	exists=NOTEXIST:P=1.0,0.0
347880	paperref:255285	paperref:257944	|	exists=NOTEXIST:P=1.0,0.0
341861	paperref:256035	paperref:253893	|	exists=NOTEXIST:P=1.0,0.0
339262	paperref:257596	paperref:257254	|
375762	paperref:256386	paperref:257993	|
356251	paperref:257955	paperref:258711	|	exists=NOTEXIST:P=1.0,0.0
336816	paperref:257222	paperref:257205	|	exists=NOTEXIST:P=1.0,0.0
361744	paperref:256705	paperref:258314	|	exists=NOTEXIST:P=1.0,0.0
354691	paperref:257246	paperref:254753	|	exists=NOTEXIST:P=1.0,0.0
365692	paperref:254880	paperref:258148	|	exists=NOTEXIST:P=1.0,0.0
334984	paperref:256592	paperref:253953	|	exists=NOTEXIST:P=1.0,0.0
351192	paperref:258738	paperref:258053	|	exists=NOTEXIST:P=1.0,0.0
340654	paperref:255490	paperref:255488	|
373766	paperref:253571	paperref:256166	|	exists=NOTEXIST:P=1.0,0.0
333046	paperref:253999	paperref:257593	|
335209	paperref:253950	paperref:254598	|	exists=NOTEXIST:P=1.0,0.0
354393	paperref:257248	paperref:255902	|	exists=NOTEXIST:P=1.0,0.0
351145	paperref:255370	paperref:258977	|	exists=NOTEXIST:P=1.0,0.0
341439	paperref:253896	paperref:257891	|	exists=NOTEXIST:P=1.0,0.0
377219	paperref:256382	paperref:253594	|	exists=NOTEXIST:P=1.0,0.0
375913	paperref:256592	paperref:254598	|
372541	paperref:254516	paperref:257606	|	exists=NOTEXIST:P=1.0,0.0
375673	paperref:255902	paperref:258132	|	exists=NOTEXIST:P=1.0,0.0
343754	paperref:253979	paperref:255290	|
333079	paperref:256966	paperref:257593	|
332220	paperref:256769	paperref:254649	|	exists=NOTEXIST:P=1.0,0.0
339844	paperref:257175	paperref:253805	|	exists=NOTEXIST:P=1.0,0.0
360456	paperref:258024	paperref:258469	|	exists=NOTEXIST:P=1.0,0.0
357751	paperref:258244	paperref:258669	|	exists=NOTEXIST:P=1.0,0.0
377726	paperref:257886	paperref:258153	|	exists=NOTEXIST:P=1.0,0.0
355565	paperref:253453	paperref:256107	|	exists=NOTEXIST:P=1.0,0.0
359739	paperref:257188	paperref:257253	|	exists=NOTEXIST:P=1.0,0.0
345362	paperref:254843	paperref:256546	|	exists=NOTEXIST:P=1.0,0.0
350310	paperref:255900	paperref:255375	|	exists=NOTEXIST:P=1.0,0.0
335112	paperref:256766	paperref:257189	|
370509	paperref:256474	paperref:257197	|	exists=NOTEXIST:P=1.0,0.0
368826	paperref:257176	paperref:258447	|	exists=NOTEXIST:P=1.0,0.0
360670	paperref:258746	paperref:254972	|	exists=NOTEXIST:P=1.0,0.0
359782	paperref:257889	paperref:257253	|	exists=NOTEXIST:P=1.0,0.0
338325	paperref:256363	paperref:256149	|	exists=NOTEXIST:P=1.0,0.0
352405	paperref:256680	paperref:253826	|	exists=NOTEXIST:P=1.0,0.0
346097	paperref:257246	paperref:258619	|	exists=NOTEXIST:P=1.0,0.0
366248	paperref:257267	paperref:257265	|
370059	paperref:258456	paperref:257497	|
359821	paperref:254003	paperref:253892	|
361083	paperref:255645	paperref:254893	|
356599	paperref:253418	paperref:254484	|	exists=NOTEXIST:P=1.0,0.0
373390	paperref:256040	paperref:256455	|	exists=NOTEXIST:P=1.0,0.0
373605	paperref:253634	paperref:255660	|	exists=NOTEXIST:P=1.0,0.0
370360	paperref:258560	paperref:254861	|	exists=NOTEXIST:P=1.0,0.0
339747	paperref:257538	paperref:253805	|	exists=NOTEXIST:P=1.0,0.0
368738	paperref:257176	paperref:254751	|	exists=NOTEXIST:P=1.0,0.0
367197	paperref:255529	paperref:255288	|	exists=NOTEXIST:P=1.0,0.0
360462	paperref:256034	paperref:253551	|
341018	paperref:258173	paperref:255528	|	exists=NOTEXIST:P=1.0,0.0
378529	paperref:253614	paperref:253616	|	exists=EXIST:P=0.0,1.0
353495	paperref:257197	paperref:258327	|	exists=NOTEXIST:P=1.0,0.0
353390	paperref:257946	paperref:258328	|	exists=NOTEXIST:P=1.0,0.0
334846	paperref:253953	paperref:257602	|	exists=NOTEXIST:P=1.0,0.0
347894	paperref:254883	paperref:257944	|	exists=NOTEXIST:P=1.0,0.0
370560	paperref:257607	paperref:257217	|
378677	paperref:254150	paperref:256056	|	exists=NOTEXIST:P=1.0,0.0
374577	paperref:257197	paperref:257198	|	exists=EXIST:P=0.0,1.0
376328	paperref:257323	paperref:257317	|	exists=EXIST:P=0.0,1.0
340242	paperref:254002	paperref:253803	|	exists=NOTEXIST:P=1.0,0.0
341631	paperref:257715	paperref:255368	|	exists=NOTEXIST:P=1.0,0.0
352207	paperref:258347	paperref:258982	|	exists=NOTEXIST:P=1.0,0.0
338011	paperref:257197	paperref:254838	|	exists=NOTEXIST:P=1.0,0.0
333006	paperref:253954	paperref:257715	|	exists=NOTEXIST:P=1.0,0.0
371344	paperref:256590	paperref:254879	|	exists=NOTEXIST:P=1.0,0.0
341506	paperref:253896	paperref:256971	|	exists=NOTEXIST:P=1.0,0.0
371734	paperref:254890	paperref:257603	|
371488	paperref:255296	paperref:255299	|
368914	paperref:257175	paperref:258145	|	exists=NOTEXIST:P=1.0,0.0
366313	paperref:258232	paperref:254652	|	exists=NOTEXIST:P=1.0,0.0
374364	paperref:258848	paperref:256190	|
358827	paperref:257007	paperref:255869	|	exists=NOTEXIST:P=1.0,0.0
371559	paperref:257602	paperref:257196	|	exists=NOTEXIST:P=1.0,0.0
340529	paperref:257932	paperref:256833	|
339544	paperref:255056	paperref:253911	|
364797	paperref:256726	paperref:257815	|	exists=NOTEXIST:P=1.0,0.0
336117	paperref:255903	paperref:257599	|
344457	paperref:255931	paperref:258769	|	exists=NOTEXIST:P=1.0,0.0
354610	paperref:256847	paperref:253448	|
363859	paperref:258316	paperref:255976	|	exists=NOTEXIST:P=1.0,0.0
349124	paperref:255615	paperref:254524	|	exists=NOTEXIST:P=1.0,0.0
337844	paperref:253804	paperref:257595	|	exists=NOTEXIST:P=1.0,0.0
377810	paperref:257884	paperref:258131	|
363150	paperref:254291	paperref:253996	|	exists=NOTEXIST:P=1.0,0.0
368266	paperref:254518	paperref:255458	|
371921	paperref:257601	paperref:256593	|	exists=NOTEXIST:P=1.0,0.0
368073	paperref:254291	paperref:256847	|
336812	paperref:257222	paperref:256277	|	exists=NOTEXIST:P=1.0,0.0
359051	paperref:257251	paperref:253995	|	exists=NOTEXIST:P=1.0,0.0
358559	paperref:255645	paperref:255227	|
365451	paperref:258233	paperref:255454	|
350825	paperref:255223	paperref:253946	|	exists=NOTEXIST:P=1.0,0.0
344834	paperref:255225	paperref:253944	|	exists=NOTEXIST:P=1.0,0.0
354994	paperref:258232	paperref:257015	|	exists=NOTEXIST:P=1.0,0.0
363032	paperref:257538	paperref:257511	|
352431	paperref:256742	paperref:253554	|
363370	paperref:254965	paperref:253656	|	exists=NOTEXIST:P=1.0,0.0
348269	paperref:253678	paperref:253420	|	exists=NOTEXIST:P=1.0,0.0
367735	paperref:253789	paperref:257602	|	exists=NOTEXIST:P=1.0,0.0
367392	paperref:254882	paperref:256831	|	exists=NOTEXIST:P=1.0,0.0
364021	paperref:256826	paperref:253652	|	exists=NOTEXIST:P=1.0,0.0
358367	paperref:255071	paperref:256056	|
331690	paperref:256768	paperref:257219	|	exists=NOTEXIST:P=1.0,0.0
360532	paperref:254046	paperref:257328	|	exists=NOTEXIST:P=1.0,0.0
377018	paperref:257204	paperref:254514	|
347332	paperref:257935	paperref:256046	|	exists=NOTEXIST:P=1.0,0.0
374665	paperref:256450	paperref:254980	|	exists=NOTEXIST:P=1.0,0.0
364434	paperref:254517	paperref:258464	|	exists=NOTEXIST:P=1.0,0.0
375761	paperref:257129	paperref:256386	|	exists=NOTEXIST:P=1.0,0.0
334746	paperref:255056	paperref:258274	|	exists=NOTEXIST:P=1.0,0.0
370154	paperref:257180	paperref:256844	|	exists=NOTEXIST:P=1.0,0.0
334242	paperref:254985	paperref:256053	|	exists=NOTEXIST:P=1.0,0.0
339416	paperref:256742	paperref:258174	|	exists=NOTEXIST:P=1.0,0.0
376293	paperref:256047	paperref:256051	|	exists=EXIST:P=0.0,1.0
339711	paperref:254154	paperref:255056	|	exists=NOTEXIST:P=1.0,0.0
376348	paperref:258295	paperref:253483	|	exists=NOTEXIST:P=1.0,0.0
366579	paperref:255904	paperref:254306	|
358960	paperref:253999	paperref:254879	|	exists=NOTEXIST:P=1.0,0.0
356681	paperref:253828	paperref:257600	|	exists=NOTEXIST:P=1.0,0.0
366229	paperref:255096	paperref:253911	|
361811	paperref:257257	paperref:253992	|	exists=NOTEXIST:P=1.0,0.0
334139	paperref:257442	paperref:255301	|	exists=NOTEXIST:P=1.0,0.0
339095	paperref:257224	paperref:257602	|	exists=NOTEXIST:P=1.0,0.0
353219	paperref:255932	paperref:258472	|
344342	paperref:258616	paperref:253998	|	exists=NOTEXIST:P=1.0,0.0
361227	paperref:257259	paperref:257893	|	exists=NOTEXIST:P=1.0,0.0
371038	paperref:255806	paperref:255804	|	exists=EXIST:P=0.0,1.0
365603	paperref:255285	paperref:255286	|	exists=EXIST:P=0.0,1.0
378928	paperref:254003	paperref:254000	|
366109	paperref:254186	paperref:254967	|	exists=NOTEXIST:P=1.0,0.0
366417	paperref:254309	paperref:254650	|	exists=NOTEXIST:P=1.0,0.0
349360	paperref:255102	paperref:256965	|	exists=NOTEXIST:P=1.0,0.0
364156	paperref:255065	paperref:254590	|	exists=NOTEXIST:P=1.0,0.0
369045	paperref:254153	paperref:257610	|	exists=NOTEXIST:P=1.0,0.0
356291	paperref:254483	paperref:258149	|	exists=NOTEXIST:P=1.0,0.0
357132	paperref:257605	paperref:253827	|
352085	paperref:255367	paperref:256033	|	exists=NOTEXIST:P=1.0,0.0
343254	paperref:253898	paperref:254289	|
343451	paperref:255797	paperref:258815	|	exists=NOTEXIST:P=1.0,0.0
358152	paperref:258561	paperref:257739	|	exists=NOTEXIST:P=1.0,0.0
347425	paperref:256036	paperref:258154	|
343150	paperref:253958	paperref:257010	|	exists=NOTEXIST:P=1.0,0.0
368734	paperref:257176	paperref:257199	|	exists=EXIST:P=0.0,1.0
363099	paperref:255014	paperref:258310	|	exists=NOTEXIST:P=1.0,0.0
337024	paperref:254624	paperref:256364	|
342969	paperref:254030	paperref:257091	|
335831	paperref:253951	paperref:258464	|	exists=NOTEXIST:P=1.0,0.0
373401	paperref:258229	paperref:257538	|
367748	paperref:257218	paperref:253789	|	exists=NOTEXIST:P=1.0,0.0
336928	paperref:253601	paperref:258347	|	exists=NOTEXIST:P=1.0,0.0
373854	paperref:255330	paperref:254010	|
351866	paperref:253949	paperref:254408	|	exists=NOTEXIST:P=1.0,0.0
362886	paperref:255640	paperref:255906	|	exists=NOTEXIST:P=1.0,0.0
342448	paperref:253899	paperref:253554	|	exists=NOTEXIST:P=1.0,0.0
375776	paperref:255265	paperref:255264	|	exists=EXIST:P=0.0,1.0
347023	paperref:254586	paperref:254589	|
347261	paperref:254588	paperref:258532	|	exists=NOTEXIST:P=1.0,0.0
332891	paperref:253954	paperref:253952	|
355205	paperref:256679	paperref:255225	|	exists=NOTEXIST:P=1.0,0.0
344792	paperref:254981	paperref:253944	|
350849	paperref:253826	paperref:253946	|	exists=NOTEXIST:P=1.0,0.0
333121	paperref:257257	paperref:257593	|	exists=NOTEXIST:P=1.0,0.0
343384	paperref:256770	paperref:253959	|	exists=NOTEXIST:P=1.0,0.0
357269	paperref:257890	paperref:254482	|
342624	paperref:255051	paperref:257184	|	exists=NOTEXIST:P=1.0,0.0
349690	paperref:258800	paperref:257186	|	exists=NOTEXIST:P=1.0,0.0
360636	paperref:258977	paperref:257823	|	exists=NOTEXIST:P=1.0,0.0
358829	paperref:255882	paperref:255869	|
347177	paperref:256720	paperref:256865	|	exists=NOTEXIST:P=1.0,0.0
378688	paperref:258356	paperref:255311	|
340136	paperref:254015	paperref:255734	|	exists=NOTEXIST:P=1.0,0.0
377610	paperref:254970	paperref:257538	|
357147	paperref:255640	paperref:253827	|
353995	paperref:257247	paperref:254751	|	exists=NOTEXIST:P=1.0,0.0
358722	paperref:254892	paperref:254276	|
358335	paperref:257012	paperref:256648	|
345214	paperref:256968	paperref:256033	|	exists=NOTEXIST:P=1.0,0.0
368930	paperref:257205	paperref:257175	|	exists=NOTEXIST:P=1.0,0.0
360475	paperref:256036	paperref:253551	|
338792	paperref:257223	paperref:258231	|	exists=NOTEXIST:P=1.0,0.0
348997	paperref:256474	paperref:255048	|	exists=NOTEXIST:P=1.0,0.0
362594	paperref:254824	paperref:258798	|
335179	paperref:258141	paperref:256766	|	exists=NOTEXIST:P=1.0,0.0
378930	paperref:254752	paperref:254003	|	exists=NOTEXIST:P=1.0,0.0
348148	paperref:257942	paperref:257183	|	exists=NOTEXIST:P=1.0,0.0
346124	paperref:258340	paperref:256411	|
347964	paperref:258599	paperref:254433	|	exists=NOTEXIST:P=1.0,0.0
356721	paperref:253828	paperref:255227	|
350999	paperref:258803	paperref:254518	|
342998	paperref:254103	paperref:253958	|	exists=NOTEXIST:P=1.0,0.0
367214	paperref:254518	paperref:255453	|	exists=NOTEXIST:P=1.0,0.0
344770	paperref:258936	paperref:256075	|	exists=NOTEXIST:P=1.0,0.0
378596	paperref:254980	paperref:255461	|	exists=NOTEXIST:P=1.0,0.0
343013	paperref:253958	paperref:256891	|	exists=NOTEXIST:P=1.0,0.0
372827	paperref:254895	paperref:256678	|	exists=NOTEXIST:P=1.0,0.0
355310	paperref:254403	paperref:258231	|	exists=NOTEXIST:P=1.0,0.0
359496	paperref:255262	paperref:257622	|	exists=NOTEXIST:P=1.0,0.0
353458	paperref:253981	paperref:253980	|
353258	paperref:257249	paperref:253891	|	exists=NOTEXIST:P=1.0,0.0
351031	paperref:258803	paperref:254483	|	exists=NOTEXIST:P=1.0,0.0
340163	paperref:255298	paperref:257930	|	exists=NOTEXIST:P=1.0,0.0
370052	paperref:257183	paperref:258673	|	exists=NOTEXIST:P=1.0,0.0
344522	paperref:258950	paperref:257176	|	exists=NOTEXIST:P=1.0,0.0
375721	paperref:255475	paperref:255479	|	exists=EXIST:P=0.0,1.0
349317	paperref:255102	paperref:257892	|
366718	paperref:254103	paperref:257610	|	exists=NOTEXIST:P=1.0,0.0
341264	paperref:253895	paperref:255370	|	exists=NOTEXIST:P=1.0,0.0
358424	paperref:257252	paperref:256965	|
340293	paperref:258417	paperref:257940	|	exists=NOTEXIST:P=1.0,0.0
342651	paperref:254258	paperref:258909	|	exists=NOTEXIST:P=1.0,0.0
332996	paperref:253954	paperref:256677	|	exists=NOTEXIST:P=1.0,0.0
373207	paperref:258000	paperref:258003	|	exists=EXIST:P=0.0,1.0
364104	paperref:257194	paperref:254111	|	exists=NOTEXIST:P=1.0,0.0
376545	paperref:257110	paperref:255260	|	exists=NOTEXIST:P=1.0,0.0
338954	paperref:258232	paperref:256406	|	exists=NOTEXIST:P=1.0,0.0
358780	paperref:257010	paperref:257186	|
365439	paperref:258233	paperref:255456	|	exists=NOTEXIST:P=1.0,0.0
333028	paperref:253954	paperref:255227	|	exists=NOTEXIST:P=1.0,0.0
370568	paperref:257607	paperref:258570	|
367064	paperref:255679	paperref:258771	|
363086	paperref:255676	paperref:258310	|	exists=NOTEXIST:P=1.0,0.0
352338	paperref:258667	paperref:258983	|	exists=NOTEXIST:P=1.0,0.0
340323	paperref:258176	paperref:255674	|	exists=NOTEXIST:P=1.0,0.0
345247	paperref:256968	paperref:255446	|
375663	paperref:258557	paperref:254860	|	exists=NOTEXIST:P=1.0,0.0
340469	paperref:253740	paperref:255564	|
335158	paperref:257122	paperref:256766	|	exists=NOTEXIST:P=1.0,0.0
359075	paperref:257251	paperref:254289	|
360864	paperref:254001	paperref:257250	|	exists=NOTEXIST:P=1.0,0.0
354954	paperref:254624	paperref:256658	|	exists=NOTEXIST:P=1.0,0.0
371951	paperref:256486	paperref:256033	|	exists=NOTEXIST:P=1.0,0.0
332938	paperref:253954	paperref:255640	|
336484	paperref:254601	paperref:255370	|
364338	paperref:255233	paperref:255234	|	exists=EXIST:P=0.0,1.0
363572	paperref:258106	paperref:258100	|	exists=EXIST:P=0.0,1.0
376983	paperref:253516	paperref:256658	|
361131	paperref:255645	paperref:253779	|	exists=NOTEXIST:P=1.0,0.0
336857	paperref:257222	paperref:254970	|	exists=NOTEXIST:P=1.0,0.0
333256	paperref:255461	paperref:254987	|	exists=NOTEXIST:P=1.0,0.0
363741	paperref:253845	paperref:256589	|	exists=NOTEXIST:P=1.0,0.0
368037	paperref:254291	paperref:256037	|	exists=NOTEXIST:P=1.0,0.0
358955	paperref:255900	paperref:253999	|	exists=NOTEXIST:P=1.0,0.0
358568	paperref:255527	paperref:255227	|
364792	paperref:258101	paperref:258095	|	exists=EXIST:P=0.0,1.0
377457	paperref:256591	paperref:257200	|	exists=NOTEXIST:P=1.0,0.0
362308	paperref:253995	paperref:257175	|	exists=NOTEXIST:P=1.0,0.0
366538	paperref:254306	paperref:257179	|	exists=NOTEXIST:P=1.0,0.0
336252	paperref:254408	paperref:257221	|	exists=NOTEXIST:P=1.0,0.0
377430	paperref:256842	paperref:257200	|
356605	paperref:254003	paperref:254484	|	exists=NOTEXIST:P=1.0,0.0
372370	paperref:256035	paperref:257199	|	exists=NOTEXIST:P=1.0,0.0
360441	paperref:255298	paperref:255354	|	exists=NOTEXIST:P=1.0,0.0
357389	paperref:255076	paperref:256385	|
369015	paperref:257175	paperref:257193	|	exists=EXIST:P=0.0,1.0
345413	paperref:256969	paperref:257253	|	exists=NOTEXIST:P=1.0,0.0
338751	paperref:258143	paperref:258968	|	exists=NOTEXIST:P=1.0,0.0
348905	paperref:255727	paperref:254651	|	exists=NOTEXIST:P=1.0,0.0
344248	paperref:253943	paperref:256588	|	exists=NOTEXIST:P=1.0,0.0
377604	paperref:256650	paperref:257538	|
365630	paperref:255286	paperref:254535	|
334622	paperref:256765	paperref:255645	|	exists=NOTEXIST:P=1.0,0.0
363929	paperref:254110	paperref:257189	|	exists=NOTEXIST:P=1.0,0.0
337803	paperref:256454	paperref:257595	|
361534	paperref:255643	paperref:254677	|
378401	paperref:258937	paperref:258932	|	exists=EXIST:P=0.0,1.0
334176	paperref:257707	paperref:258595	|	exists=NOTEXIST:P=1.0,0.0
363177	paperref:257886	paperref:253996	|	exists=NOTEXIST:P=1.0,0.0
347209	paperref:255254	paperref:258852	|	exists=NOTEXIST:P=1.0,0.0
351320	paperref:255554	paperref:257875	|	exists=NOTEXIST:P=1.0,0.0
336443	paperref:254601	paperref:253776	|
348216	paperref:256569	paperref:257600	|	exists=NOTEXIST:P=1.0,0.0
369014	paperref:257175	paperref:258443	|	exists=NOTEXIST:P=1.0,0.0
366083	paperref:258231	paperref:258572	|
349619	paperref:255729	paperref:256595	|	exists=NOTEXIST:P=1.0,0.0
353704	paperref:257538	paperref:253980	|	exists=NOTEXIST:P=1.0,0.0
374832	paperref:257191	paperref:257199	|
373563	paperref:257986	paperref:258430	|
346335	paperref:255049	paperref:257177	|
373310	paperref:253418	paperref:257194	|	exists=NOTEXIST:P=1.0,0.0
373182	paperref:256454	paperref:258144	|	exists=NOTEXIST:P=1.0,0.0
363148	paperref:253996	paperref:257199	|	exists=NOTEXIST:P=1.0,0.0
334316	paperref:254902	paperref:258765	|	exists=NOTEXIST:P=1.0,0.0
331740	paperref:256768	paperref:256679	|	exists=NOTEXIST:P=1.0,0.0
361606	paperref:257187	paperref:253993	|	exists=NOTEXIST:P=1.0,0.0
366903	paperref:254185	paperref:256545	|	exists=NOTEXIST:P=1.0,0.0
348950	paperref:255402	paperref:256048	|	exists=NOTEXIST:P=1.0,0.0
355911	paperref:257014	paperref:256277	|	exists=NOTEXIST:P=1.0,0.0
332482	paperref:258571	paperref:253957	|	exists=NOTEXIST:P=1.0,0.0
372145	paperref:256036	paperref:257892	|	exists=NOTEXIST:P=1.0,0.0
369606	paperref:254801	paperref:258869	|
373087	paperref:258094	paperref:258090	|	exists=EXIST:P=0.0,1.0
364058	paperref:253779	paperref:253777	|	exists=EXIST:P=0.0,1.0
364819	paperref:255123	paperref:255124	|	exists=EXIST:P=0.0,1.0
331649	paperref:256768	paperref:255552	|
347284	paperref:254693	paperref:255166	|	exists=NOTEXIST:P=1.0,0.0
332312	paperref:256769	paperref:253845	|	exists=NOTEXIST:P=1.0,0.0
343522	paperref:254748	paperref:258618	|	exists=NOTEXIST:P=1.0,0.0
337074	paperref:258667	paperref:253602	|	exists=NOTEXIST:P=1.0,0.0
363470	paperref:256588	paperref:254890	|	exists=NOTEXIST:P=1.0,0.0
343276	paperref:255104	paperref:253898	|	exists=NOTEXIST:P=1.0,0.0
337333	paperref:255645	paperref:254600	|
354802	paperref:257684	paperref:254626	|
374706	paperref:253567	paperref:253569	|
370365	paperref:258560	paperref:254860	|	exists=NOTEXIST:P=1.0,0.0
357022	paperref:255792	paperref:257046	|
354085	paperref:257170	paperref:257007	|
345541	paperref:256900	paperref:256860	|	exists=NOTEXIST:P=1.0,0.0
332884	paperref:253954	paperref:253945	|	exists=EXIST:P=0.0,1.0
346781	paperref:258158	paperref:256117	|	exists=NOTEXIST:P=1.0,0.0
338528	paperref:256307	paperref:254576	|	exists=NOTEXIST:P=1.0,0.0
333293	paperref:254987	paperref:256056	|	exists=NOTEXIST:P=1.0,0.0
365668	paperref:254880	paperref:254599	|	exists=NOTEXIST:P=1.0,0.0
365415	paperref:256010	paperref:255005	|	exists=NOTEXIST:P=1.0,0.0
353395	paperref:257946	paperref:254882	|	exists=NOTEXIST:P=1.0,0.0
370337	paperref:257181	paperref:258674	|
362094	paperref:257512	paperref:254516	|	exists=NOTEXIST:P=1.0,0.0
359868	paperref:255901	paperref:253892	|	exists=NOTEXIST:P=1.0,0.0
338032	paperref:254517	paperref:254838	|
333545	paperref:254772	paperref:255012	|	exists=NOTEXIST:P=1.0,0.0
338126	paperref:256040	paperref:257594	|
350410	paperref:253947	paperref:258628	|	exists=NOTEXIST:P=1.0,0.0
344938	paperref:255903	paperref:258951	|	exists=NOTEXIST:P=1.0,0.0
341340	paperref:255848	paperref:257952	|	exists=NOTEXIST:P=1.0,0.0
332675	paperref:257590	paperref:257197	|	exists=NOTEXIST:P=1.0,0.0
358193	paperref:254278	paperref:256472	|	exists=NOTEXIST:P=1.0,0.0
333517	paperref:258808	paperref:258810	|
342861	paperref:257538	paperref:253897	|	exists=NOTEXIST:P=1.0,0.0
334491	paperref:258570	paperref:253952	|
377776	paperref:258219	paperref:256657	|	exists=NOTEXIST:P=1.0,0.0
367793	paperref:253418	paperref:254536	|	exists=NOTEXIST:P=1.0,0.0
366661	paperref:254646	paperref:255330	|
366190	paperref:258291	paperref:254648	|
360298	paperref:258740	paperref:258849	|	exists=NOTEXIST:P=1.0,0.0
335564	paperref:256767	paperref:257221	|	exists=NOTEXIST:P=1.0,0.0
367094	paperref:257181	paperref:254881	|	exists=NOTEXIST:P=1.0,0.0
335894	paperref:254982	paperref:254103	|	exists=NOTEXIST:P=1.0,0.0
331950	paperref:253969	paperref:254175	|
372189	paperref:257190	paperref:257600	|	exists=NOTEXIST:P=1.0,0.0
367950	paperref:256277	paperref:254535	|	exists=NOTEXIST:P=1.0,0.0
361324	paperref:253991	paperref:257195	|	exists=NOTEXIST:P=1.0,0.0
376251	paperref:258146	paperref:254003	|	exists=NOTEXIST:P=1.0,0.0
340627	paperref:253801	paperref:254750	|	exists=NOTEXIST:P=1.0,0.0
376381	paperref:258147	paperref:254753	|	exists=NOTEXIST:P=1.0,0.0
348968	paperref:255402	paperref:256056	|	exists=NOTEXIST:P=1.0,0.0
367816	paperref:254536	paperref:253910	|	exists=NOTEXIST:P=1.0,0.0
378889	paperref:254002	paperref:257892	|
334585	paperref:254676	paperref:253952	|	exists=NOTEXIST:P=1.0,0.0
347084	paperref:257177	paperref:257937	|	exists=NOTEXIST:P=1.0,0.0
359580	paperref:255352	paperref:256455	|	exists=NOTEXIST:P=1.0,0.0
338367	paperref:257226	paperref:258950	|	exists=NOTEXIST:P=1.0,0.0
355992	paperref:255224	paperref:254677	|	exists=NOTEXIST:P=1.0,0.0
338410	paperref:255641	paperref:257226	|	exists=NOTEXIST:P=1.0,0.0
333255	paperref:254987	paperref:254986	|
372860	paperref:258882	paperref:255338	|	exists=NOTEXIST:P=1.0,0.0
342320	paperref:256779	paperref:256072	|	exists=NOTEXIST:P=1.0,0.0
358145	paperref:256901	paperref:257739	|	exists=NOTEXIST:P=1.0,0.0
349684	paperref:258800	paperref:254514	|
376988	paperref:253485	paperref:258292	|	exists=NOTEXIST:P=1.0,0.0
346540	paperref:253682	paperref:254209	|
331645	paperref:254880	paperref:256768	|
350140	paperref:256848	paperref:255104	|	exists=NOTEXIST:P=1.0,0.0
345507	paperref:257889	paperref:256969	|	exists=NOTEXIST:P=1.0,0.0
338079	paperref:257594	paperref:258131	|
348284	paperref:255480	paperref:255479	|	exists=EXIST:P=0.0,1.0
332255	paperref:256769	paperref:257221	|
347640	paperref:256148	paperref:258224	|	exists=NOTEXIST:P=1.0,0.0
355689	paperref:258229	paperref:254402	|	exists=NOTEXIST:P=1.0,0.0
363760	paperref:256589	paperref:254879	|	exists=NOTEXIST:P=1.0,0.0
352879	paperref:256746	paperref:257200	|	exists=NOTEXIST:P=1.0,0.0
348304	paperref:255574	paperref:255618	|	exists=NOTEXIST:P=1.0,0.0
367712	paperref:255346	paperref:257192	|	exists=NOTEXIST:P=1.0,0.0
342298	paperref:254764	paperref:254766	|
359385	paperref:257252	paperref:253892	|	exists=NOTEXIST:P=1.0,0.0
345757	paperref:256750	paperref:256752	|	exists=EXIST:P=0.0,1.0
333928	paperref:257205	paperref:254986	|	exists=NOTEXIST:P=1.0,0.0
363671	paperref:256589	paperref:254598	|	exists=NOTEXIST:P=1.0,0.0
375154	paperref:254150	paperref:257193	|	exists=NOTEXIST:P=1.0,0.0
339530	paperref:255056	paperref:254338	|	exists=NOTEXIST:P=1.0,0.0
354999	paperref:257015	paperref:254102	|	exists=NOTEXIST:P=1.0,0.0
344376	paperref:258616	paperref:258627	|	exists=NOTEXIST:P=1.0,0.0
357577	paperref:258042	paperref:256186	|	exists=NOTEXIST:P=1.0,0.0
371853	paperref:257601	paperref:254892	|	exists=NOTEXIST:P=1.0,0.0
351269	paperref:254167	paperref:254245	|	exists=NOTEXIST:P=1.0,0.0
375410	paperref:257345	paperref:253591	|
339235	paperref:257224	paperref:256597	|	exists=NOTEXIST:P=1.0,0.0
336092	paperref:253845	paperref:257599	|	exists=NOTEXIST:P=1.0,0.0
367799	paperref:257217	paperref:254536	|
343872	paperref:258617	paperref:257257	|	exists=NOTEXIST:P=1.0,0.0
